NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,FREQUENTLY/ALWAYS
0.026,0.032,0.067,0.152,0.365,0.592
0.026,0.032,0.067,0.152,0.365,0.592
0.026,0.032,0.067,0.152,0.365,0.592
0.026,0.032,0.067,0.152,0.365,0.593
0.026,0.032,0.067,0.152,0.365,0.594
0.026,0.032,0.067,0.152,0.365,0.594
0.026,0.032,0.067,0.153,0.365,0.594
0.026,0.032,0.067,0.153,0.365,0.594
0.026,0.032,0.068,0.153,0.365,0.594
0.026,0.032,0.068,0.153,0.365,0.594
0.026,0.032,0.068,0.153,0.366,0.594
0.026,0.032,0.068,0.153,0.366,0.595
0.026,0.032,0.068,0.153,0.366,0.595
0.027,0.032,0.068,0.153,0.366,0.595
0.027,0.032,0.068,0.153,0.366,0.595
0.027,0.032,0.068,0.153,0.367,0.596
0.027,0.032,0.068,0.153,0.367,0.596
0.027,0.033,0.068,0.153,0.367,0.596
0.027,0.033,0.068,0.154,0.367,0.596
0.027,0.033,0.068,0.154,0.367,0.596
0.027,0.033,0.068,0.154,0.368,0.596
0.027,0.033,0.068,0.154,0.368,0.597
0.027,0.033,0.068,0.154,0.368,0.597
0.027,0.033,0.068,0.154,0.368,0.597
0.027,0.033,0.068,0.154,0.368,0.597
0.027,0.033,0.068,0.154,0.368,0.597
0.027,0.033,0.068,0.154,0.368,0.598
0.027,0.033,0.068,0.154,0.368,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.369,0.598
0.027,0.033,0.069,0.154,0.37,0.598
0.027,0.033,0.069,0.154,0.37,0.598
0.027,0.034,0.069,0.155,0.37,0.599
0.027,0.034,0.069,0.155,0.37,0.599
0.027,0.034,0.069,0.155,0.37,0.599
0.027,0.034,0.069,0.155,0.37,0.599
0.027,0.034,0.069,0.155,0.37,0.599
0.027,0.034,0.069,0.155,0.37,0.6
0.027,0.034,0.07,0.155,0.37,0.6
0.027,0.034,0.07,0.155,0.371,0.6
0.027,0.034,0.07,0.155,0.371,0.6
0.027,0.034,0.07,0.155,0.371,0.6
0.027,0.034,0.07,0.155,0.371,0.6
0.028,0.034,0.07,0.155,0.371,0.6
0.028,0.034,0.07,0.155,0.371,0.6
0.028,0.034,0.07,0.155,0.371,0.6
0.028,0.034,0.07,0.155,0.371,0.601
0.028,0.034,0.07,0.155,0.371,0.601
0.028,0.034,0.07,0.155,0.372,0.601
0.028,0.034,0.07,0.156,0.372,0.601
0.028,0.034,0.07,0.156,0.372,0.601
0.028,0.034,0.07,0.156,0.372,0.602
0.028,0.034,0.07,0.156,0.372,0.602
0.028,0.034,0.071,0.156,0.372,0.602
0.028,0.034,0.071,0.156,0.372,0.602
0.028,0.034,0.071,0.156,0.373,0.602
0.028,0.034,0.071,0.156,0.373,0.602
0.028,0.034,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.603
0.028,0.035,0.071,0.156,0.373,0.604
0.028,0.035,0.071,0.156,0.373,0.604
0.029,0.035,0.071,0.156,0.374,0.604
0.029,0.035,0.071,0.156,0.374,0.604
0.029,0.035,0.071,0.156,0.374,0.604
0.029,0.035,0.071,0.156,0.374,0.604
0.029,0.035,0.071,0.156,0.374,0.604
0.029,0.035,0.072,0.157,0.374,0.604
0.029,0.035,0.072,0.157,0.374,0.604
0.029,0.035,0.072,0.157,0.375,0.604
0.029,0.035,0.072,0.157,0.375,0.605
0.029,0.035,0.072,0.157,0.375,0.605
0.029,0.035,0.072,0.157,0.375,0.605
0.029,0.035,0.072,0.157,0.375,0.605
0.029,0.035,0.072,0.157,0.375,0.605
0.029,0.035,0.072,0.157,0.375,0.605
0.029,0.035,0.072,0.157,0.375,0.606
0.029,0.035,0.072,0.157,0.375,0.606
0.029,0.035,0.072,0.157,0.376,0.606
0.029,0.035,0.072,0.157,0.376,0.606
0.029,0.036,0.072,0.157,0.376,0.606
0.029,0.036,0.072,0.157,0.377,0.606
0.029,0.036,0.072,0.157,0.378,0.606
0.029,0.036,0.072,0.157,0.378,0.606
0.029,0.036,0.072,0.157,0.379,0.606
0.029,0.036,0.072,0.158,0.379,0.606
0.029,0.036,0.073,0.158,0.379,0.606
0.03,0.036,0.073,0.158,0.38,0.606
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.607
0.03,0.036,0.073,0.158,0.38,0.608
0.03,0.036,0.073,0.158,0.38,0.609
0.03,0.036,0.073,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.036,0.074,0.158,0.381,0.609
0.03,0.037,0.074,0.158,0.382,0.61
0.03,0.037,0.074,0.158,0.382,0.61
0.03,0.037,0.074,0.158,0.382,0.61
0.03,0.037,0.074,0.159,0.382,0.61
0.031,0.037,0.074,0.159,0.382,0.61
0.031,0.037,0.074,0.159,0.382,0.61
0.031,0.037,0.074,0.159,0.383,0.61
0.031,0.037,0.074,0.159,0.383,0.61
0.031,0.037,0.074,0.159,0.383,0.611
0.031,0.037,0.074,0.159,0.383,0.611
0.031,0.037,0.074,0.159,0.383,0.611
0.031,0.037,0.075,0.159,0.384,0.611
0.031,0.037,0.075,0.159,0.384,0.611
0.031,0.037,0.075,0.159,0.384,0.611
0.031,0.037,0.075,0.159,0.384,0.611
0.031,0.037,0.075,0.159,0.384,0.611
0.031,0.037,0.075,0.159,0.384,0.612
0.031,0.037,0.075,0.159,0.384,0.612
0.031,0.037,0.075,0.159,0.384,0.612
0.031,0.037,0.075,0.159,0.384,0.612
0.031,0.037,0.075,0.159,0.384,0.612
0.031,0.037,0.075,0.16,0.385,0.612
0.031,0.037,0.075,0.16,0.385,0.612
0.031,0.037,0.075,0.16,0.385,0.613
0.031,0.037,0.075,0.16,0.385,0.613
0.031,0.037,0.075,0.16,0.385,0.613
0.031,0.038,0.075,0.16,0.385,0.613
0.031,0.038,0.075,0.16,0.385,0.613
0.031,0.038,0.075,0.16,0.385,0.614
0.031,0.038,0.075,0.16,0.385,0.614
0.031,0.038,0.075,0.16,0.385,0.614
0.031,0.038,0.075,0.16,0.386,0.614
0.031,0.038,0.075,0.16,0.386,0.614
0.031,0.038,0.076,0.16,0.386,0.615
0.031,0.038,0.076,0.16,0.386,0.615
0.032,0.038,0.076,0.161,0.386,0.615
0.032,0.038,0.076,0.161,0.386,0.615
0.032,0.038,0.076,0.161,0.387,0.615
0.032,0.038,0.076,0.161,0.387,0.615
0.032,0.038,0.076,0.161,0.387,0.615
0.032,0.038,0.076,0.161,0.387,0.615
0.032,0.038,0.076,0.161,0.387,0.616
0.032,0.038,0.076,0.161,0.387,0.616
0.032,0.038,0.076,0.161,0.387,0.616
0.032,0.038,0.076,0.161,0.388,0.616
0.032,0.038,0.076,0.161,0.388,0.616
0.032,0.038,0.076,0.161,0.388,0.616
0.032,0.038,0.076,0.161,0.388,0.617
0.032,0.038,0.076,0.162,0.388,0.617
0.032,0.038,0.076,0.162,0.389,0.617
0.032,0.039,0.076,0.162,0.389,0.617
0.032,0.039,0.077,0.162,0.389,0.618
0.032,0.039,0.077,0.162,0.389,0.618
0.032,0.039,0.077,0.162,0.389,0.618
0.032,0.039,0.077,0.162,0.389,0.618
0.032,0.039,0.077,0.162,0.389,0.618
0.032,0.039,0.077,0.162,0.39,0.618
0.032,0.039,0.077,0.162,0.39,0.618
0.032,0.039,0.077,0.162,0.39,0.618
0.032,0.039,0.077,0.162,0.39,0.618
0.032,0.039,0.077,0.162,0.39,0.619
0.032,0.039,0.077,0.162,0.39,0.619
0.033,0.039,0.077,0.162,0.39,0.619
0.033,0.039,0.077,0.162,0.39,0.619
0.033,0.039,0.077,0.162,0.39,0.619
0.033,0.039,0.077,0.162,0.39,0.62
0.033,0.039,0.077,0.162,0.39,0.62
0.033,0.039,0.077,0.162,0.39,0.62
0.033,0.039,0.077,0.162,0.391,0.62
0.033,0.039,0.077,0.162,0.391,0.621
0.033,0.039,0.077,0.163,0.391,0.621
0.033,0.039,0.078,0.163,0.391,0.621
0.033,0.039,0.078,0.163,0.391,0.621
0.033,0.039,0.078,0.163,0.392,0.621
0.033,0.039,0.078,0.163,0.392,0.621
0.033,0.039,0.078,0.163,0.392,0.621
0.033,0.039,0.078,0.163,0.392,0.621
0.033,0.039,0.078,0.163,0.392,0.622
0.033,0.039,0.078,0.163,0.392,0.622
0.033,0.039,0.078,0.163,0.392,0.622
0.033,0.04,0.078,0.163,0.392,0.622
0.033,0.04,0.078,0.163,0.392,0.622
0.033,0.04,0.078,0.163,0.392,0.622
0.033,0.04,0.078,0.163,0.393,0.622
0.033,0.04,0.079,0.163,0.393,0.622
0.033,0.04,0.079,0.163,0.393,0.622
0.033,0.04,0.079,0.164,0.393,0.622
0.033,0.04,0.079,0.164,0.393,0.623
0.033,0.04,0.079,0.164,0.393,0.623
0.034,0.04,0.079,0.164,0.393,0.623
0.034,0.04,0.079,0.164,0.394,0.623
0.034,0.04,0.079,0.164,0.394,0.623
0.034,0.04,0.079,0.164,0.394,0.623
0.034,0.04,0.079,0.164,0.394,0.623
0.034,0.04,0.079,0.164,0.394,0.623
0.034,0.04,0.079,0.164,0.395,0.624
0.034,0.04,0.079,0.164,0.395,0.624
0.034,0.04,0.079,0.164,0.395,0.624
0.034,0.04,0.079,0.164,0.395,0.624
0.034,0.04,0.079,0.164,0.395,0.624
0.034,0.04,0.08,0.164,0.395,0.625
0.034,0.04,0.08,0.164,0.395,0.625
0.034,0.04,0.08,0.165,0.395,0.625
0.034,0.04,0.08,0.165,0.395,0.625
0.034,0.041,0.08,0.165,0.395,0.625
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.626
0.034,0.041,0.08,0.165,0.396,0.627
0.034,0.041,0.08,0.165,0.396,0.627
0.034,0.041,0.08,0.165,0.397,0.627
0.035,0.041,0.08,0.166,0.397,0.627
0.035,0.041,0.08,0.166,0.397,0.627
0.035,0.041,0.08,0.166,0.397,0.627
0.035,0.041,0.08,0.166,0.397,0.627
0.035,0.041,0.08,0.166,0.397,0.628
0.035,0.041,0.08,0.166,0.398,0.628
0.035,0.041,0.08,0.166,0.398,0.628
0.035,0.041,0.081,0.166,0.398,0.628
0.035,0.041,0.081,0.166,0.398,0.628
0.035,0.042,0.081,0.166,0.398,0.628
0.035,0.042,0.081,0.166,0.398,0.628
0.035,0.042,0.081,0.166,0.398,0.628
0.035,0.042,0.081,0.166,0.399,0.628
0.035,0.042,0.081,0.167,0.399,0.628
0.035,0.042,0.081,0.167,0.399,0.628
0.035,0.042,0.081,0.167,0.399,0.628
0.035,0.042,0.081,0.167,0.399,0.628
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.042,0.081,0.167,0.399,0.629
0.035,0.043,0.081,0.167,0.399,0.629
0.035,0.043,0.081,0.167,0.4,0.629
0.035,0.043,0.081,0.167,0.4,0.629
0.035,0.043,0.081,0.167,0.4,0.629
0.035,0.043,0.082,0.167,0.4,0.629
0.035,0.043,0.082,0.167,0.4,0.63
0.035,0.043,0.082,0.168,0.4,0.63
0.035,0.043,0.082,0.168,0.401,0.63
0.035,0.043,0.082,0.168,0.401,0.63
0.035,0.043,0.082,0.168,0.401,0.63
0.035,0.043,0.082,0.168,0.402,0.63
0.035,0.043,0.082,0.168,0.402,0.63
0.035,0.043,0.082,0.168,0.402,0.63
0.035,0.043,0.082,0.168,0.403,0.631
0.035,0.043,0.082,0.168,0.403,0.631
0.036,0.043,0.082,0.168,0.403,0.631
0.036,0.044,0.082,0.168,0.403,0.631
0.036,0.044,0.082,0.168,0.403,0.631
0.036,0.044,0.082,0.168,0.404,0.631
0.036,0.044,0.082,0.168,0.404,0.631
0.036,0.044,0.082,0.168,0.404,0.632
0.036,0.044,0.083,0.169,0.404,0.632
0.036,0.044,0.083,0.169,0.404,0.632
0.036,0.044,0.083,0.169,0.404,0.632
0.036,0.044,0.083,0.169,0.404,0.632
0.036,0.044,0.083,0.169,0.404,0.632
0.036,0.044,0.083,0.169,0.404,0.633
0.036,0.044,0.083,0.169,0.404,0.633
0.036,0.044,0.083,0.169,0.405,0.633
0.036,0.044,0.083,0.169,0.405,0.633
0.036,0.044,0.083,0.169,0.405,0.633
0.036,0.044,0.083,0.169,0.405,0.633
0.036,0.044,0.083,0.169,0.405,0.633
0.036,0.044,0.083,0.169,0.405,0.633
0.036,0.044,0.083,0.169,0.406,0.633
0.036,0.044,0.083,0.169,0.406,0.633
0.036,0.044,0.083,0.169,0.406,0.634
0.037,0.044,0.083,0.169,0.406,0.634
0.037,0.044,0.083,0.169,0.406,0.634
0.037,0.044,0.083,0.169,0.406,0.634
0.037,0.044,0.083,0.17,0.406,0.634
0.037,0.045,0.083,0.17,0.406,0.634
0.037,0.045,0.084,0.17,0.407,0.634
0.037,0.045,0.084,0.17,0.407,0.635
0.037,0.045,0.084,0.17,0.407,0.635
0.037,0.045,0.084,0.17,0.407,0.635
0.037,0.045,0.084,0.17,0.407,0.635
0.037,0.045,0.084,0.17,0.407,0.635
0.037,0.045,0.084,0.17,0.407,0.636
0.037,0.045,0.084,0.17,0.408,0.636
0.037,0.045,0.084,0.17,0.408,0.636
0.037,0.045,0.084,0.17,0.408,0.636
0.037,0.045,0.084,0.17,0.408,0.636
0.038,0.045,0.084,0.17,0.408,0.636
0.038,0.045,0.084,0.17,0.408,0.636
0.038,0.045,0.084,0.17,0.408,0.637
0.038,0.045,0.084,0.171,0.409,0.637
0.038,0.045,0.084,0.171,0.409,0.637
0.038,0.045,0.084,0.171,0.409,0.637
0.038,0.045,0.084,0.171,0.409,0.637
0.038,0.045,0.084,0.171,0.409,0.637
0.038,0.045,0.084,0.171,0.409,0.637
0.038,0.045,0.084,0.171,0.409,0.638
0.038,0.045,0.085,0.171,0.41,0.638
0.038,0.046,0.085,0.171,0.41,0.638
0.038,0.046,0.085,0.171,0.41,0.638
0.038,0.046,0.085,0.171,0.41,0.639
0.038,0.046,0.085,0.171,0.41,0.639
0.038,0.046,0.085,0.171,0.41,0.639
0.038,0.046,0.085,0.171,0.41,0.639
0.038,0.046,0.085,0.171,0.41,0.639
0.038,0.046,0.085,0.172,0.41,0.639
0.038,0.046,0.085,0.172,0.41,0.639
0.039,0.046,0.085,0.172,0.41,0.639
0.039,0.046,0.085,0.172,0.411,0.64
0.039,0.046,0.085,0.172,0.411,0.64
0.039,0.046,0.085,0.172,0.411,0.64
0.039,0.046,0.085,0.172,0.411,0.64
0.039,0.046,0.085,0.172,0.411,0.64
0.039,0.046,0.085,0.172,0.411,0.64
0.039,0.046,0.085,0.172,0.411,0.641
0.039,0.046,0.085,0.172,0.411,0.641
0.039,0.046,0.085,0.172,0.411,0.641
0.039,0.046,0.085,0.172,0.411,0.641
0.039,0.046,0.085,0.172,0.411,0.641
0.039,0.046,0.086,0.172,0.412,0.641
0.039,0.046,0.086,0.172,0.412,0.642
0.039,0.047,0.086,0.172,0.412,0.642
0.039,0.047,0.086,0.172,0.413,0.642
0.039,0.047,0.086,0.172,0.413,0.642
0.039,0.047,0.086,0.172,0.413,0.642
0.039,0.047,0.086,0.173,0.413,0.642
0.039,0.047,0.086,0.173,0.413,0.643
0.039,0.047,0.086,0.173,0.413,0.643
0.039,0.047,0.086,0.173,0.413,0.643
0.04,0.047,0.086,0.173,0.413,0.643
0.04,0.047,0.086,0.173,0.413,0.643
0.04,0.047,0.086,0.173,0.413,0.643
0.04,0.047,0.086,0.173,0.414,0.643
0.04,0.047,0.086,0.173,0.414,0.644
0.04,0.047,0.086,0.173,0.414,0.644
0.04,0.047,0.086,0.173,0.414,0.644
0.04,0.047,0.086,0.173,0.414,0.644
0.04,0.047,0.086,0.173,0.415,0.644
0.04,0.047,0.087,0.173,0.415,0.644
0.04,0.047,0.087,0.173,0.415,0.644
0.04,0.047,0.087,0.173,0.415,0.644
0.04,0.047,0.087,0.173,0.415,0.644
0.04,0.048,0.087,0.173,0.415,0.645
0.04,0.048,0.087,0.173,0.415,0.645
0.04,0.048,0.087,0.173,0.415,0.645
0.04,0.048,0.087,0.173,0.415,0.645
0.04,0.048,0.087,0.173,0.416,0.645
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.646
0.04,0.048,0.087,0.174,0.416,0.647
0.041,0.048,0.087,0.174,0.416,0.647
0.041,0.048,0.087,0.174,0.417,0.647
0.041,0.048,0.087,0.174,0.417,0.647
0.041,0.048,0.087,0.174,0.417,0.647
0.041,0.048,0.087,0.174,0.417,0.647
0.041,0.048,0.088,0.174,0.417,0.647
0.041,0.049,0.088,0.175,0.417,0.647
0.041,0.049,0.088,0.175,0.417,0.647
0.041,0.049,0.088,0.175,0.417,0.647
0.041,0.049,0.088,0.175,0.417,0.648
0.041,0.049,0.088,0.175,0.417,0.648
0.041,0.049,0.088,0.175,0.417,0.648
0.041,0.049,0.088,0.175,0.418,0.648
0.041,0.049,0.088,0.175,0.418,0.648
0.041,0.049,0.088,0.175,0.418,0.648
0.041,0.049,0.088,0.175,0.418,0.649
0.041,0.049,0.088,0.175,0.418,0.649
0.041,0.049,0.088,0.176,0.418,0.649
0.041,0.049,0.088,0.176,0.418,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.041,0.049,0.088,0.176,0.419,0.649
0.042,0.05,0.088,0.176,0.419,0.65
0.042,0.05,0.088,0.176,0.419,0.65
0.042,0.05,0.088,0.176,0.42,0.65
0.042,0.05,0.088,0.176,0.42,0.65
0.042,0.05,0.088,0.176,0.42,0.65
0.042,0.05,0.088,0.176,0.42,0.65
0.042,0.05,0.088,0.176,0.42,0.65
0.042,0.05,0.088,0.176,0.42,0.651
0.042,0.05,0.089,0.176,0.42,0.651
0.042,0.05,0.089,0.177,0.42,0.651
0.042,0.05,0.089,0.177,0.42,0.651
0.042,0.05,0.089,0.177,0.421,0.651
0.042,0.05,0.089,0.177,0.421,0.651
0.042,0.05,0.089,0.177,0.421,0.651
0.042,0.05,0.089,0.177,0.421,0.652
0.042,0.05,0.089,0.177,0.421,0.652
0.042,0.05,0.089,0.177,0.421,0.652
0.042,0.05,0.089,0.177,0.421,0.652
0.042,0.05,0.089,0.177,0.422,0.652
0.042,0.05,0.089,0.177,0.422,0.653
0.042,0.05,0.089,0.177,0.422,0.653
0.042,0.05,0.089,0.177,0.422,0.653
0.042,0.05,0.089,0.177,0.423,0.654
0.042,0.05,0.089,0.177,0.423,0.654
0.042,0.05,0.089,0.177,0.423,0.654
0.042,0.05,0.089,0.177,0.423,0.654
0.042,0.05,0.089,0.177,0.423,0.654
0.042,0.05,0.09,0.177,0.423,0.654
0.042,0.05,0.09,0.178,0.423,0.655
0.042,0.051,0.09,0.178,0.423,0.655
0.043,0.051,0.09,0.178,0.423,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.655
0.043,0.051,0.09,0.178,0.424,0.656
0.043,0.051,0.09,0.178,0.424,0.656
0.043,0.051,0.09,0.178,0.425,0.656
0.043,0.051,0.09,0.178,0.425,0.656
0.043,0.051,0.09,0.179,0.425,0.656
0.043,0.051,0.09,0.179,0.425,0.657
0.043,0.051,0.09,0.179,0.425,0.657
0.043,0.051,0.091,0.179,0.425,0.657
0.043,0.052,0.091,0.179,0.425,0.657
0.043,0.052,0.091,0.179,0.425,0.657
0.043,0.052,0.091,0.179,0.426,0.657
0.043,0.052,0.091,0.179,0.426,0.657
0.044,0.052,0.091,0.179,0.426,0.657
0.044,0.052,0.091,0.179,0.426,0.658
0.044,0.052,0.091,0.179,0.426,0.658
0.044,0.052,0.091,0.179,0.426,0.658
0.044,0.052,0.091,0.179,0.426,0.658
0.044,0.052,0.091,0.179,0.427,0.658
0.044,0.052,0.091,0.179,0.427,0.658
0.044,0.052,0.091,0.179,0.427,0.658
0.044,0.052,0.091,0.179,0.427,0.658
0.044,0.052,0.091,0.179,0.427,0.659
0.044,0.052,0.091,0.179,0.428,0.66
0.044,0.052,0.091,0.179,0.428,0.66
0.044,0.052,0.091,0.18,0.428,0.66
0.044,0.052,0.091,0.18,0.428,0.66
0.044,0.052,0.091,0.18,0.428,0.66
0.044,0.052,0.091,0.18,0.428,0.66
0.044,0.052,0.091,0.18,0.428,0.661
0.044,0.052,0.091,0.18,0.428,0.661
0.044,0.052,0.091,0.18,0.428,0.661
0.044,0.052,0.092,0.18,0.429,0.661
0.044,0.053,0.092,0.18,0.429,0.661
0.044,0.053,0.092,0.18,0.429,0.661
0.044,0.053,0.092,0.18,0.429,0.661
0.044,0.053,0.092,0.18,0.429,0.661
0.044,0.053,0.092,0.18,0.429,0.661
0.044,0.053,0.092,0.181,0.429,0.661
0.044,0.053,0.092,0.181,0.43,0.661
0.045,0.053,0.092,0.181,0.43,0.661
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.662
0.045,0.053,0.092,0.181,0.43,0.663
0.045,0.053,0.092,0.181,0.43,0.663
0.045,0.053,0.092,0.181,0.43,0.663
0.045,0.053,0.092,0.181,0.43,0.663
0.045,0.053,0.092,0.181,0.431,0.663
0.046,0.053,0.092,0.181,0.431,0.663
0.046,0.053,0.092,0.181,0.431,0.663
0.046,0.053,0.092,0.181,0.432,0.663
0.046,0.053,0.092,0.181,0.432,0.663
0.046,0.053,0.092,0.181,0.432,0.663
0.046,0.053,0.092,0.182,0.432,0.663
0.046,0.053,0.093,0.182,0.432,0.664
0.046,0.053,0.093,0.182,0.432,0.664
0.046,0.053,0.093,0.182,0.432,0.664
0.046,0.053,0.093,0.182,0.432,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.093,0.182,0.433,0.664
0.046,0.054,0.094,0.182,0.433,0.665
0.046,0.054,0.094,0.182,0.434,0.665
0.047,0.054,0.094,0.182,0.434,0.665
0.047,0.054,0.094,0.182,0.434,0.666
0.047,0.054,0.094,0.182,0.434,0.666
0.047,0.054,0.094,0.182,0.434,0.666
0.047,0.054,0.094,0.182,0.434,0.666
0.047,0.054,0.094,0.182,0.434,0.666
0.047,0.054,0.094,0.182,0.434,0.666
0.047,0.054,0.094,0.183,0.434,0.666
0.047,0.054,0.094,0.183,0.434,0.666
0.047,0.055,0.094,0.183,0.434,0.666
0.047,0.055,0.094,0.183,0.435,0.666
0.047,0.055,0.094,0.183,0.435,0.666
0.047,0.055,0.094,0.183,0.435,0.666
0.047,0.055,0.094,0.183,0.435,0.666
0.047,0.055,0.094,0.183,0.435,0.666
0.047,0.055,0.094,0.183,0.435,0.666
0.047,0.055,0.095,0.183,0.435,0.666
0.048,0.055,0.095,0.183,0.436,0.666
0.048,0.055,0.095,0.183,0.436,0.667
0.048,0.055,0.095,0.183,0.436,0.667
0.048,0.055,0.095,0.183,0.436,0.667
0.048,0.055,0.095,0.183,0.436,0.667
0.048,0.055,0.095,0.183,0.436,0.667
0.048,0.055,0.095,0.183,0.436,0.667
0.048,0.055,0.095,0.183,0.436,0.668
0.048,0.055,0.095,0.183,0.436,0.668
0.048,0.055,0.095,0.183,0.437,0.668
0.048,0.055,0.095,0.183,0.437,0.668
0.048,0.055,0.095,0.183,0.437,0.668
0.048,0.055,0.095,0.183,0.438,0.668
0.048,0.055,0.095,0.183,0.438,0.668
0.048,0.055,0.095,0.183,0.438,0.669
0.048,0.056,0.095,0.184,0.438,0.669
0.048,0.056,0.095,0.184,0.438,0.669
0.048,0.056,0.095,0.184,0.439,0.669
0.049,0.056,0.095,0.184,0.439,0.669
0.049,0.056,0.095,0.184,0.439,0.669
0.049,0.056,0.095,0.184,0.439,0.669
0.049,0.056,0.096,0.184,0.439,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.44,0.67
0.049,0.056,0.096,0.184,0.441,0.671
0.049,0.056,0.096,0.184,0.441,0.671
0.049,0.056,0.096,0.184,0.441,0.671
0.049,0.056,0.096,0.184,0.441,0.671
0.049,0.056,0.096,0.185,0.441,0.671
0.049,0.056,0.096,0.185,0.441,0.671
0.05,0.056,0.096,0.185,0.441,0.671
0.05,0.056,0.096,0.185,0.441,0.672
0.05,0.056,0.096,0.185,0.442,0.672
0.05,0.056,0.096,0.185,0.442,0.672
0.05,0.056,0.096,0.185,0.442,0.672
0.05,0.056,0.096,0.185,0.442,0.672
0.05,0.056,0.096,0.185,0.443,0.672
0.05,0.056,0.096,0.185,0.443,0.672
0.05,0.056,0.097,0.185,0.443,0.672
0.05,0.056,0.097,0.185,0.443,0.672
0.05,0.056,0.097,0.185,0.443,0.672
0.05,0.056,0.097,0.185,0.443,0.672
0.05,0.056,0.097,0.185,0.443,0.673
